"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,196.683,196.954,214.23,248.049,270.189,324.705,380.91,435.472,539.667,614.661,680.426,660.221,659.1,627.344,582.461,572.163,610.235,647.278,690.375,730.707,778.693
Albania,704.588,791.287,798.011,790.099,764.21,764.529,829.098,806.596,779.387,839.702,671.661,410.32,262.17,456.289,752.493,917.36,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.729,2975.623,3594.101,4377.04,4130.929,4098.125,4438.925,4248.814,4415.662,4584.914,3935.672,4125.704,4520.268,4912.45,5184.175,5518.141,5852.765,6206.255
Algeria,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.385,2636.309,3141.027,3508.959,3986.564,4943.502,3886.059,4480.719,5453.894,5574.507,5477.055,5466.329,4150.689,3901.807,4225.004,4249.684,4302.753,4371.437,4475.36,4573.622
Angola,668.88,609.544,593.834,603.066,622.792,680.914,619.801,690.823,729.631,826.108,885.688,833.503,623.942,439.645,310.813,376.603,431.429,491.926,404.856,371.711,535.473,508.857,690.923,761.596,1023.524,1428.459,2052.721,2882.797,3897.512,3393.552,3599.272,4411.575,4744.884,4988.923,4915.923,3876.197,3484.525,4401.432,4762.595,4692.208,4714.032,4741.237,4728.133
Antigua and Barbuda,1920.27,2177.102,2448.568,2752.963,3200.967,3764.001,4617.601,5455.277,6547.27,7273.222,7623.412,7927.571,8084.421,8474.018,9097.242,8675.225,9266.488,9678.3,10074.768,10349.505,10981.376,10414.643,10482.368,10893.152,11582.523,12738.001,14264.568,15996.056,16514.078,14616.947,13613.471,13346.768,14006.82,13646.308,14488.092,15282.667,16175.594,16826.192,17354.939,17951.838,18478.913,19021.464,19579.944
Argentina,8106.24,6467.987,3158.507,3841.894,4241.377,3149.677,3739.41,3790.752,4386.526,2779.87,4709.66,6233.392,7420.317,7558.499,8125.907,8053.119,8385.152,8918.826,9005.377,8452.875,8386.586,7851.657,2898.289,3648.061,4314.396,5163.55,5976.082,7315.726,9146.79,8337.811,10412.945,12787.806,13889.792,14488.829,13208.832,14643.922,12493.909,14061.75,14342.145,15801.162,16792.874,17718.139,18678.401
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3532.633,3690.298,3852.852,4045.926,4248.594,4479.297,4759.551
Australia,11017.731,12540.057,12246.144,11602.76,12586.764,10977.768,11255.654,13010.733,16263.663,18201.618,18866.267,18677.4,18120.19,17474.921,19740.351,20959.677,23218.03,23050.337,20373.793,21767.417,20859.661,19442.851,21653.286,27256.621,32796.123,36178.737,37907.924,45162.748,49223.865,45603.957,56360.354,66773.109,68048.291,64733.892,61231.972,51220.037,51737.228,56135.416,58940.716,61250.695,62903.403,64862.105,66783.061
Austria,10707.968,9259.984,9246.949,9396.186,8862.776,9070.476,12857.293,16057.045,17593.403,17508.59,21778.653,22571.318,25012.367,24098.675,25668.057,30289.196,29756.001,26682.845,27328.536,27152.287,24589.189,24510.765,26444.124,32176.936,36754.571,38319.386,40469.858,46652.912,51629.646,47785.563,46757.13,51192.565,48381.444,50533.288,51390.001,43705.46,44232.94,46435.925,49795.892,51375.454,52904.225,54219.363,55500.824
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,159.971,174.875,297.162,312.842,409.191,505.567,540.852,571.507,647.837,665.014,748.31,863.808,1019.236,1541.17,2414.909,3759.279,5212.825,4933.359,5847.26,7106.04,7471.77,7936.51,8048.78,5396.409,3956.411,4097.581,4438.976,4752.24,5082.663,5437.733,5843.248
"Bahamas, The",9657.726,9818.388,10803.097,11755.457,12280.705,13200.753,14028.148,15187.69,15468.637,17143.077,16075.836,15487.125,15212.525,14869.207,15403.454,15881.622,16432.613,17198.224,18255.138,20197.853,20894.312,21200.7,22310.507,21970.8,22124.055,23714.438,24215.2,24987.835,24481.886,22952.495,22957.794,22647.324,23842.937,23924.831,23926.418,24309.568,23670.793,24510.649,25268.573,26040.051,26668.878,27262.852,27778.212
Bahrain,10189.612,11061.394,11221.699,11117.659,11163.436,10182.368,7695.805,8049.364,9602.789,9668.043,10179.73,10252.464,10536.924,11290.35,11777.097,12143.07,12298.652,12422.094,11565.951,12210.2,14214.556,13894.32,13501.529,14486.037,15963.951,17966.194,19267.54,20908.338,23236.055,19465.292,20827.719,24080.43,25226.697,26171.881,26327.582,24062.736,24146.155,25169.551,25764.423,26166.903,26620.921,27096.49,27564.969
Bangladesh,274.333,260.211,231.987,236.75,262.124,262.553,267.979,287.84,302.588,324.93,329.494,331.729,324.429,332.768,353.908,383.095,393.525,402.894,407.35,415.371,412.334,406.41,419.69,454.097,485.663,495.486,523.025,584.5,655.954,728.387,807.531,857.496,916.025,1030.028,1162.742,1293.001,1414.052,1532.132,1659.522,1794.531,1939.203,2094.715,2262.683
Barbados,4071.933,4481.597,4682.547,4971.029,5418.577,5670.823,6226.14,6856.284,7292.537,8070.922,8094.688,8128.647,7828.673,8299.702,8185.546,8603.545,9166.566,9634.212,10834.534,11327.748,11600.222,11547.36,11704.626,12057.646,12887.315,14255.55,15705.385,16549.383,16691.844,16676.979,16079.887,15725.976,15593.34,15698.42,15596.606,15814.704,16236.954,17158.813,18205.01,18769.111,19442.222,20232.751,21065.899
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1210.104,1076.142,1481.461,1000.204,1375.754,1341.854,1452.41,1165.601,1277.052,1247.469,1480.153,1811.855,2370.274,3115.513,3838.293,4726.479,6366.189,5170.431,6023.149,6472.739,6938.067,7977.147,8316.012,5941.24,4989.275,5585.236,5745.154,6020.732,6329.085,6669.497,6986.242
Belgium,12596.236,10423.715,9179.728,8673.126,8290.873,8617.626,11948.561,14821.93,16096.833,16187.829,20229.119,20680.426,22952.545,21844.003,23754.04,28616.775,27749.862,25089.833,25604.763,25509.243,23303.039,23193.64,25197.244,30863.123,35722.619,37146.708,39021.76,44638.33,48850.72,45176.012,44691.258,47950.947,44900.088,46613.195,47634.682,40509.755,41247.858,43243.304,46315.662,47811.553,49222.114,50512.682,51804.811
Belize,1148.111,1193.646,1170.803,1200.667,1304.267,1258.664,1332.602,1518.633,1759.218,1976.865,2179.95,2291.929,2603.278,2729.91,2751.794,2863.58,2888.603,2845.15,2888.405,3013.08,3330.955,3388.367,3516.41,3618.466,3743.261,3818.446,4040.716,4143.093,4252.108,4145.949,4321.294,4475.383,4617.479,4614.157,4780.862,4757.114,4629.977,4698.615,4775.741,4819.264,4858.429,4896.164,4934.193
Benin,461.169,301.491,289.582,248.279,256.749,259.186,320.755,363.866,366.879,329.186,391.836,383.328,417.583,407.402,276.127,362.449,382.222,356.55,374.967,399.06,370.786,373.859,413.418,510.455,571.435,588.1,609.539,686.465,798.583,770.007,734.278,799.768,811.685,887.574,918.111,763.882,770.81,825.835,910.446,969.412,1031.747,1103.124,1170.471
Bhutan,307.957,323.738,331.996,350.04,353.646,356.027,389.913,456.239,506.507,493.323,524.929,455.209,451.704,480.266,494.125,581.144,606.11,668.031,715.848,730.512,773.491,783.204,842.667,932.757,1056.226,1171.862,1288.486,1501.918,1865.175,1721.426,1998.75,2382.108,2445.204,2451.849,2387.861,2603.1,2681.19,2886.819,3217.318,3672.176,3999.275,4213.229,4480.322
Bolivia,695.535,615.66,668.55,619.896,631.152,668.921,640.939,683.624,712.146,715.525,723.42,777.891,804.735,795.05,804.712,885.679,955.574,1005.873,1057.72,1010.58,1005.409,959.844,914.958,918.468,979.59,1049.064,1240.94,1399.8,1749.2,1789.604,1994.911,2394.789,2664.571,2969.52,3146.851,3099.454,3125.171,3412.238,3647.862,3878.125,4144.96,4447.717,4767.643
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,983.161,1218.931,1445.304,1547.958,1468.876,1522.828,1753.109,2197.047,2611.8,2789.938,3178.846,3912.377,4784.496,4508.159,4404.37,4788.774,4430.534,4681.919,4784.815,4186.666,4298.45,4540.468,4836.658,5076.059,5323.377,5563.677,5833.022
Botswana,1199.223,1039.432,1057.51,1126.868,1079.237,968.951,1267.145,1915.113,2398.684,2584.231,2750.806,2673.588,2684.209,2629.778,2755.722,2984.191,3006.151,3025.699,2841.934,3173.687,3301.535,3091.388,3017.695,4119.088,4842.171,5346.037,5347.437,5676.787,5641.183,5206.455,6853.67,7550.724,7154.186,7124.945,7728.448,6780.971,7227.351,7673.797,7952.19,8164.149,8376.637,8582.897,8815.355
Brazil,1255.999,1411.906,1476.938,1159.031,1129.335,1756.028,1996.584,2131.771,2338.039,3153.499,3172.073,2734.7,2577.327,2846.348,3569.459,4950.301,5207.936,5327.212,5132.052,3507.744,3778.965,3183.613,2859.406,3090.526,3659.059,4815.889,5912.961,7374.775,8854.994,8625.13,11298.413,13242.687,12366.951,12294.596,12111.736,8810.496,8726.901,10019.79,10514.588,10913.416,11333.783,11773.919,12243.254
Brunei Darussalam,no data,no data,no data,no data,no data,19979.818,11946.922,13281.59,12241.233,13457.077,15422.566,15773.381,17386.219,16664.546,16140.896,18292.06,19282.327,19120.874,14526.109,16112.075,20511.076,18680.432,18845.723,20821.905,24294.89,28589.055,33253.615,34811.045,42678.823,31287.184,35437.219,47092.296,47640.767,44540.154,41509.256,30994.98,26935.123,27893.449,27601.242,29152.128,31007.348,34021.791,35818.902
Bulgaria,2818.226,3029.505,3148.774,3226.338,3421.643,2930.406,2599.523,3025.765,4973.359,5101.198,2267.396,224.185,919.068,504.076,895.398,1514.293,1153.869,1228.132,1631.94,1673.66,1613.935,1783.719,2074.575,2689.794,3344.643,3839.448,4444.514,5812.681,7152.785,6859.679,6743.737,7836.578,7401.944,7703.481,7877.094,7017.109,7377.001,7923.967,8701.305,9203.852,9714.355,10192.035,10684.704
Burkina Faso,291.201,247.214,224.62,200.202,174.547,200.896,256.767,291.128,313.06,304.852,351.985,346.407,361.049,334.946,196.026,235.832,249.359,229.488,255.71,267.009,226.844,237.465,261.801,332.957,371.76,407.819,420.717,475.393,571.69,553.276,583.611,666.418,673.399,698.783,700.958,616.067,658.164,696.448,753.268,799.059,845.806,890.868,933.613
Burundi,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,166.657,174.016,201.97,217.263,242.84,260.918,265.913,286.547,318.9,318.938,325.262,343.393,376.738,439.039,499.698,555.431,612.093
Cabo Verde,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1149.124,1342.454,1351.814,1292.61,1348.93,1502.101,1332.05,1365.332,1479.593,1908.977,2159.232,2278.165,2566.454,3129.819,3692.003,3524.33,3413.263,3801.454,3463.269,3614.463,3590.051,3042.979,3086.413,3212.921,3432.081,3611.829,3790.493,3960.449,4135.332
Cambodia,no data,no data,no data,no data,no data,no data,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.629,470.683,536.151,627.78,741.855,734.655,781.912,877.635,945.17,1010.772,1091.487,1167.718,1277.696,1389.631,1495.561,1610.355,1728.687,1852.765,1979.696
Cameroon,869.544,957.245,892.923,876.02,901.637,917.213,1163.493,1310.33,1292.748,1118.755,1086.121,1174.866,1044.945,1058.31,699.238,645.162,699.386,687.901,668.314,662.464,580.876,603.292,662.985,807.331,909.429,931.339,979.742,1085.191,1208.902,1176.48,1158.78,1271.207,1234.371,1344.712,1423.916,1230.373,1238.333,1262.564,1328.602,1385.804,1448.213,1511.874,1578.535
Canada,11239.072,12355.415,12499.474,13441.381,13894.395,14131.186,14479.538,16339.729,18966.339,20763.516,21495.149,21807.255,20915.034,20145.558,19963.295,20641.543,21257.09,21857.611,20975.139,22261.148,24221.265,23777.486,24210.039,28242.185,32075.361,36315.727,40441.766,44599.148,46660.868,40831.097,47512.679,52143.843,52577.385,52494.129,50509.592,43349.618,42224.939,44773.26,47657.644,49196.489,50525.155,51909.524,53296.774
Central African Republic,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,243.232,242.266,255.649,289.835,322.802,337.641,362.233,413.345,474.39,464.514,456.564,495.035,480.053,329.444,362.872,332.366,364.231,399.787,439.516,481.61,529.773,582.843,628.193
Chad,167.345,193.153,182.076,177.734,186.265,196.954,236.6,261.657,298.418,274.973,323.311,312.824,318.428,271.777,215.007,248.074,269.041,252.174,277.79,238.555,210.22,252.59,287.299,360.742,567.507,739.472,804.514,915.118,1072.769,933.675,1046.89,1162.474,1155.526,1180.371,1240.999,946.877,851.624,799.355,810.598,834.644,873.392,906.649,938.098
Chile,2580.044,3004.874,2204.486,1762.302,1687.103,1424.432,1504.505,1743.965,2021.144,2289.559,2503.988,2829.874,3386.141,3559.507,4035.988,5113.078,5345.973,5739.782,5440.425,4943.061,5054.314,4557.575,4450.344,4776.151,6201.681,7606.297,9477.121,10510.297,10757.692,10221.846,12789.526,14607.945,15306.921,15786.469,14644.662,13469.552,13575.996,14314.752,14274.43,14757.203,15293.315,15881.505,16522.758
"China, People's Republic of",309.356,290.514,282.064,298.698,303.445,295.336,282.158,302.199,371.015,409.094,348.651,358.826,423.032,525.708,472.65,608.375,708.58,780.839,827.643,872.222,958.564,1053.145,1150.213,1293.129,1512.619,1765.721,2110.574,2703.003,3467.03,3837.903,4524.055,5582.887,6329.464,7080.828,7701.691,8166.756,8123.256,8582.94,9376.968,10121.3,10986.471,11887.521,12834.725
Colombia,1644.643,1752.718,1836.665,1786.854,1728.19,1587.194,1557.076,1587.582,1676.397,1656.045,1653.128,1673.892,1941.929,2159.589,2665.578,2967.146,3066.617,3322.988,3021.488,2613.62,2478.536,2406.053,2369.905,2261.583,2763.699,3416.901,3749.84,4722.938,5495.984,5200.047,6305.285,7284.992,7930.752,8067.943,7937.633,6047.97,5792.182,6237.586,6472.257,6766.951,7080.386,7403.874,7742.142
Comoros,429.869,367.044,340.104,322.463,307.777,303.118,398.188,466.449,477.398,442.712,541.682,581.286,615.15,596.505,390.795,477.122,464.052,418.506,416.247,421.228,374.716,399.18,447.154,564.751,612.04,646.083,658.654,737.819,819.412,801.496,789.466,860.243,815.058,872.765,881.952,732.749,744.781,777.468,836.886,867.528,897.415,923.431,949.415
"Congo, Dem. Rep. of the",2389.497,2013.735,2119.585,1654.969,1069.067,945.84,1027.324,941.553,1056.053,1040.305,1043.394,980.857,857.123,1083.618,569.18,535.473,669.972,589.051,422.612,376.174,363.867,151.345,156.764,156.295,175.255,196.635,228.375,253.789,288.033,267.744,292.955,338.627,368.785,424.418,452.93,470.151,467.414,466.391,466.334,467.571,470.864,476.844,484.721
"Congo, Republic of ",1311.065,1042.618,881.785,777.733,693.686,690.061,915.602,1079.073,1113.618,1107.124,1260.674,1191.066,1250.849,1116.788,718.177,837.921,981.466,875.412,716.86,845.596,1126.961,954.134,1006.064,1138.407,1475.933,1886.274,2335.487,2192.48,2936.932,2624.081,3364.131,3950.862,3555.944,3561.155,3492.5,2067.086,1854.855,1793.848,1786.368,1771.727,1812.534,1921.129,1902.279
Costa Rica,2100.757,1107.138,1067.872,1252.589,1415.777,1472.762,1605.215,1606.451,1591.981,1756.797,1873.621,2318.477,2688.046,2927.069,3105.446,3327.394,3265.484,3437.063,3638.579,3703.133,3927.591,4029.576,4108.17,4213.892,4470.856,4743.154,5295.906,6187.386,7003.463,6897.244,8300.692,9302.26,10098.778,10677.808,10695.652,11435.967,11836.435,11856.789,12144.514,12735.504,13361.817,14035.961,14749.319
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2589.329,2804.466,3834.633,5027.751,5251.627,5243.551,5631.133,5132.663,4970.183,5409.836,6243.553,8048.914,9365.635,10224.203,11359.5,13543.972,15889.111,14142.275,13505.029,14537.955,13234.667,13573.74,13468.729,11636.945,12164.949,12862.948,13958.052,14599.554,15211.303,15757.827,16668.025
Cyprus,4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15397.095,15260.132,14324.54,15188.886,15379.941,14464.882,14903.867,16188.412,20389.059,23969.876,25527.048,27448.989,31774.789,36030.355,32635.568,31262.37,32692.698,29032.116,27791.664,27208.265,23105.266,23351.874,24740.962,26742.003,27623.224,28559.985,29373.306,30224.456
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5783.049,6492.133,5992.073,6453.424,6304.157,5998.127,6599.25,8028.306,9776.517,11687.388,13362.343,15206.389,18433.577,22819.082,19787.766,19831.401,21736.836,19739.899,19912.51,19768.84,17728.702,18507.729,19818.364,22467.892,23771.403,25101.887,26404.657,27675.59
Côte d'Ivoire,1257.522,1023.475,883.91,758.421,734.347,724.88,927.677,981.641,983.856,903.991,962.371,900.246,919.427,827.634,605.34,777.446,833.763,785.554,823.88,788.126,666.208,676.74,729.528,880.13,927.168,933.024,946.725,1055.077,1228.524,1197.476,1195.439,1200.775,1221.004,1388.45,1530.619,1381.392,1466.426,1598.795,1773.699,1892.592,2009.977,2119.553,2229.244
Denmark,13888.986,12079.024,11803.245,11853.921,11563.578,12263.831,17220.112,21353.566,22531.226,21918.309,26922.444,27060.384,29631.339,27643.446,30054.144,35477.694,35734.723,32901.275,33429.551,33491.679,30804.458,30812.051,33277.951,40519.863,46570.353,48876.175,52122.977,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62605.697,53237.279,53744.643,56334.61,60633.819,62616.681,64615.102,66570.942,68598.728
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,934.297,929.131,934.386,886.101,909.389,895.477,864.577,855.79,851.679,870.939,871.161,880.352,884.072,905.262,934.845,967.29,1020.629,1094.968,1235.838,1240.597,1306.536,1433.171,1522.945,1592.86,1690.668,1788.363,1902.754,2039.908,2186.948,2344.587,2490.097,2644.638,2808.77
Dominica,no data,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6975.991,7082.209,6868.992,7096.217,7402.795,7564.368,8220.134,8591.735,8952.397,9259.941,9618.554,9981.91,10334.271
Dominican Republic,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.67,1916.438,2141.061,2309.916,2495.033,2658.543,2674.827,2894.302,3007.381,3158.394,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5685.768,6056.585,6270.3,6342.71,6609.186,6833.236,7113.93,7360.515,7733.311,8126.272,8531.153,8956.125,9402.309
Ecuador,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6382.31,6153.804,5917.104,5875.69,5855.932,5875.818,5934.296,6013.223,6121.021
Egypt,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,906.804,978.537,1111.782,1221.885,1342.925,1469.317,1532.889,1642.629,1569.035,1356.683,1254.101,1195.373,1330.459,1563.479,1861.052,2270.356,2578.046,2921.757,3077.343,3383.113,3400.321,3524.418,3731.177,3684.574,no data,no data,no data,no data,no data,no data
El Salvador,827.453,721.362,706.746,672.756,488.958,471.671,470.105,472.315,543.663,611.688,914.457,996.435,1102.722,1268.373,1459.495,1693.494,1819.312,1943.229,2077.578,2138.027,2237.513,2337.174,2408.535,2520.385,2633.05,2834.793,3061.172,3306.727,3507.529,3364.984,3476.997,3738.126,3828.553,3896.144,3989.522,4128.732,4226.735,4303.2,4497.685,4663.578,4832.428,5002.946,5170.137
Equatorial Guinea,143.872,125.994,140.562,145.98,149.718,235.985,276.579,325.31,339.574,289.43,356.344,341.024,400.521,391.041,280.181,381.481,605.21,1115.206,905.263,1469.641,2230.362,3128.49,3738.426,6621.358,10154.496,13557.036,16228.886,20436.76,30013.898,22202.516,23411.827,29789.825,30408.456,28985.72,27583.945,15214.589,12399.404,11948.105,11456.544,11200.291,10985.717,11054.556,11058.488
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,228.342,141.275,163.487,180.681,213.475,214.166,219.756,208.742,182.647,188.327,176.725,204.137,251.844,241.462,257.739,271.509,275.243,358.441,395.645,471.792,541.52,593.796,665,741.363,823.111,900.792,988.157,1083.362,1098.82,1214.411,1343.741
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1150.732,1648.997,2621.986,3329.193,3607.157,4034.853,4162.738,4072.163,4494.445,5308.888,7163.764,8835.485,10320.6,12576.698,16579.404,18144.137,14757.474,14652.348,17441.454,17398.375,19046.742,19961.64,17192.427,17786.014,19618.312,21964.346,23532.853,25058.644,26479.746,27950.539
Ethiopia,215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,152.658,155.121,152.171,134.226,128.213,129.678,125.722,116.789,120.873,138.553,165.218,198.344,249.209,334.145,397.808,360.829,379.381,503.989,548.048,628.342,720.617,795.234,860.557,927.39,993.625,1065.258,1146.143,1227.932
FYR Macedonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1263.863,1383.543,1824.418,2387.158,2348.109,1980.429,1888.755,1931.989,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5174.894,4728.267,5239.722,5498.606,4854.212,5263.911,5500.299,5916.366,6257.45,6625.23,6982.728,7369.497
Fiji,1941.876,1947.628,1833.922,1682.16,1727.279,1647.503,1845.552,1678.205,1579.6,1650.188,1808.653,1857.766,2039.328,2159.947,2391.808,2561.679,2747.213,2682.198,2105.335,2452.176,2111.221,2066.446,2277.858,2842.89,3324.78,3640.166,3730.849,4066.886,4334.791,3514.994,3827.13,4422.608,4632.025,4863.456,5179.865,5017.175,5357.484,5761.062,6114.407,6483.152,6874.156,7288.741,7720.849
Finland,11261.272,10991.49,11039.387,10546.858,10889.008,11490.921,14999.985,18633.449,22031.74,24067.004,28507.164,25663.521,22490.249,17670.344,20433.743,26349.626,25827.609,24746.045,26054.463,26242.767,24347.469,24967.82,26958.545,32921.376,37748.129,39106.576,41240.452,48463.305,53785.144,47337.938,46391.713,50960.182,47553.397,49766.126,50087.853,42501.245,43482.406,45692.892,49206.649,51018.722,52749.984,54236.805,55722.789
France,13111.787,11497.085,10860.896,10330.873,9733.747,10149.984,14006.561,16871.826,18326.779,18328.022,22600.462,22524.405,24725.736,23212.099,24398.135,27898.303,27870.574,25166.999,25951.704,25680.897,23317.944,23342.092,25226.206,30808.706,35153.793,36209.519,37900.031,43155.504,47273.321,43234.246,42249.064,45430.283,42333.09,44104.924,44571.659,37840.083,38177.856,39673.138,42418.746,43830.648,45214.036,46413.071,47623.702
